hotel_name,original_price,price_after_discount,tax,rating,location
The Anvaya Beach Resort Bali,5022000,4017600,Inclusive of taxes,8.9,Badung
The Apurva Kempinski Bali,14520640,10890480,Inclusive of taxes,8.9,Nusa Dua Beach
"The Westin Resort Nusa Dua, Bali",4001067,3000800,Inclusive of taxes,8.8,The Westin Resort Nusa Dua
The Sakala Resort Bali - All Suites,2400000,1392000,Inclusive of taxes,8.5,Tanjung Benoa
Discovery Kartika Plaza Bali,1733333,1300000,Inclusive of taxes,8.6,Badung
Urban Styles Inata Bisma Ubud,810000,405000,Inclusive of taxes,8.5,Monkey Forest
Hilton Bali Resort,3872000,2904000,Inclusive of taxes,8.7,Nusa Dua Beach
The ONE Legian,1440000,1137600,Inclusive of taxes,8.5,Legian
Prama Sanur Beach Bali,2268000,771120,Inclusive of taxes,8.5,Sanur
Ramada Encore by Wyndham Bali Seminyak,1642500,903375,Inclusive of taxes,8.6,Seminyak
ASTON Kuta Hotel & Residence,1989000,1690650,Inclusive of taxes,8.6,Badung
Merusaka Nusa Dua,3199500,2079675,Inclusive of taxes,8.9,Nusa Dua Beach
Kanishka Villas,1435745,1162954,Inclusive of taxes,8.2,Seminyak
Kanvaz Village Resort Seminyak,3211884,2408913,Inclusive of taxes,8.9,Seminyak
RIMBA by AYANA Bali,3908300,2931225,Inclusive of taxes,9.0,Jimbaran
Grand Inna Kuta,1920000,1036800,Inclusive of taxes,8.5,Badung
"Nusa Dua Beach Hotel & Spa, Bali",3825858,2104222,Inclusive of taxes,8.7,Nusa Dua Beach Hotel & Spa
Mercure Bali Nusa Dua,1012044,759033,Inclusive of taxes,8.2,Nusa Dua
Padma Resort Ubud,5806729,4064710,Inclusive of taxes,9.1,Payangan
Conrad Bali,4154334,3115751,Inclusive of taxes,8.7,Tanjung Benoa
Grand Hyatt Bali,3325031,2493773,Inclusive of taxes,8.5,Nusa Dua Beach
Horison Seminyak,2000000,1000000,Inclusive of taxes,8.4,Seminyak
Aryaduta Bali,1380000,1035000,Inclusive of taxes,8.7,Badung
Swiss Belhotel Tuban,990667,743000,Inclusive of taxes,8.6,Badung
