name;cuisines/items/0/tag/localizedName;reviewSnippetsV2/reviews/0/text;reviewSnippetsV2/reviews/1/text;reviewSummary/count;reviewSummary/rating
Ely's Kitchen Ubud;Asian;Spaghetti ￹carbonara￻;The BEST ￹Nasi Goreng￻ in a beautiful jun...;3165;5
Nautilus Seafood Restaurant & Bar;Bar;￹Amazing Seafood￻ Experience;Awesome seefood;26;5
Sleeping Gajah Kitchen & Lounge;International;Memorable dinner overlooking ￹rice￻ terraces, highly recommend!;The view was breathtaking although the...;800;5
MoonLite Kitchen and Bar;Asian;If you can make it there for sunset it's absolutely gorgeous and all of the...;We had ￹soft shell crab￻, fried tiger pra...;2340;4.5
The Power of Love - Samabe Cave Dining;Seafood;I appreciated being able to select a no ￹seafood￻ menu.;... the scallops, cod and ￹lobster risotto￻;589;5
Koral Restaurant;International;Really Good Food, Good Ambience, Good Staff, Good Service , its all really...;Best ￹Lobster Dinner￻ Ever!;1375;5
Kaukau Restaurant;Asian;Breakfast at KauKau Restaurant;Great food;1087;5
Clover Cafe Ubud;Bar;restaurant experience;Great service;242;5
Gabah Indonesian Cuisine;Indonesian;This was my send time to (Ramayana) Gabah is the only restaurant we eat at...;Great;2260;4.5
The Chill Penida;International;Can recommend ￹tuna￻ salad and aperol.;... recommend the ￹falafel￻ bowl), lovely...;540;5
Akasa Jumeirah Bali;Seafood;... and with crab ￹rice￻ it was perfect c...;Amazing;233;5
Mambo Beach Restaurant Beach Bar & Cafe Nusa Penida;American;An enjoyable night of me-time by the beach with a tasty cocktail;Best Restaurant!;1135;5
Waroeng Bernadette;Indonesian;The food and the service were amazing! A special thanks to Adi and Agus! We'll...;Delicious oxtail ￹soup￻;2425;5
The Grumpy Butcher;Steakhouse;The meat, the ￹prawns￻ and the side dishes are so so delicious!!;... coleslaw, ￹Mac and cheese￻ - for arou...;1504;5
Secret Garden Restaurant;Seafood;Enchanting secret garden with delicious food. If you are in Lovina you have to...;I can recommend the vegetarian ￹curry￻ 🥰;1231;5
DAVA Steak & Seafood Restaurant;Steakhouse;We had steak and ￹salmon￻, staff did very kind care of us.;... for their famous ￹steak and lobster￻.;1012;5
O Club By Oculus Bali;Italian;Luxurious ￹Day￻ Club;Nice;44;5
Naughty Nuri's Seminyak;American;The ￹Nasi goreng￻ was spicy and cured our hangover!;The ￹spare ribs￻ were very delicious!;10062;5
Pistachio Restaurant;International;I had a very lovely dinner at Pistachio Ubud. Ordered Crispy Skin Barramundi...;"Great ￹vegan￻ options; delicious food.";1708;5
Sukun Restaurant Nusa Dua;Asian;The salmon ￹pasta￻ was delicious and the pies were amazing.;Try the balinese ￹crispy duck￻;627;5
Fisherman's Club;Bar;Best ￹Lobster￻ ever;... tuna, clams, ￹prawns￻ and octopus.;715;5
Warung Dandelion;Asian;My wife and I visited Dandelion 4 times during our week in Canggu. The food...;5/5;1583;4.5
Ambar Ubud Bar;Japanese;We had the delicious prawn salad, ￹sashimi￻, lobster roll and beef ramen which...;Beautiful Bali;516;5
Seasalt;Seafood;... service by Dewi .. the ￹pork belly￻ was sensational .. the deserts were to ...;She noticed we really like the ￹mackerel￻...;1551;5
Soleil;Italian;... is amazing!!! Great food like ￹tuna￻ tartare, grilled octopus, pizza and ri...;... creme brûlée ￹foie gras￻ from the menu.;2620;5
Warnakali Restaurant;Cafe;￹Tuna￻ poke bowl starter was the size of a main course (not complaining as it’s...;Love this place, i stay in the hotel with...;529;5
Asri Dining By Samanvaya;International;Highlights for us: Halloumi Sliders, Seared ￹Tuna￻ and Hot Coal Grill (you get...;The place is amazing, the view is great...;1244;5
Makan Place, Bali;American;had the chicken gyoza, loaded fries and ￹calamari￻.;Best ￹Pork Ribs￻;937;4.5
Omma Bali;Japanese;￹Paradise￻;Veery good fo the place;355;4.5
Three Monkeys Sanur;European;Visited the Three Monkeys with our family and we were all very happy with our...;Especially loved the fried ￹prawns￻ in co...;3896;4.5
Warung Ketut;Seafood;Met Wayan the owner who is a fisherman and a passionate cook, lovely soul and...;... there and ordered the ￹grilled fish￻.;145;5
Asmat Restaurant Amed;European;I love this place!;Amazing time in Amed;168;5
Kabana Ubud;Bar;We had ￹pasta￻ and burger, it was so good.;romantic dinner is good;408;5
Kisik Seafood & Grill;Seafood;￹Satay￻ and cocktails cliff hideout to remember.;... Seafood ￹skewers￻ and red snapper.;880;4.5
Botanist Restaurant Ubud;American;... with amazing ambiance and views of tropical gardens and ￹rice￻ fields.;... add a few more ￹vegan￻ friendly optio...;604;5
Botanist Restaurant Ubud;American;... with amazing ambiance and views of tropical gardens and ￹rice￻ fields.;... add a few more ￹vegan￻ friendly optio...;604;5
Ely's Kitchen Ubud;Asian;Spaghetti ￹carbonara￻;The BEST ￹Nasi Goreng￻ in a beautiful jun...;3165;5
Sleeping Gajah Kitchen & Lounge;International;Memorable dinner overlooking ￹rice￻ terraces, highly recommend!;The view was breathtaking although the...;800;5
MoonLite Kitchen and Bar;Asian;If you can make it there for sunset it's absolutely gorgeous and all of the...;We had ￹soft shell crab￻, fried tiger pra...;2340;4.5
The Power of Love - Samabe Cave Dining;Seafood;I appreciated being able to select a no ￹seafood￻ menu.;... the scallops, cod and ￹lobster risotto￻;589;5
Koral Restaurant;International;Really Good Food, Good Ambience, Good Staff, Good Service , its all really...;Best ￹Lobster Dinner￻ Ever!;1375;5
Kaukau Restaurant;Asian;Breakfast at KauKau Restaurant;Great food;1087;5
Nautilus Seafood Restaurant & Bar;Bar;￹Amazing Seafood￻ Experience;Awesome seefood;26;5
Gabah Indonesian Cuisine;Indonesian;This was my send time to (Ramayana) Gabah is the only restaurant we eat at...;Great;2260;4.5
The Chill Penida;International;Can recommend ￹tuna￻ salad and aperol.;... recommend the ￹falafel￻ bowl), lovely...;540;5
Akasa Jumeirah Bali;Seafood;... and with crab ￹rice￻ it was perfect c...;Amazing;233;5
Mambo Beach Restaurant Beach Bar & Cafe Nusa Penida;American;An enjoyable night of me-time by the beach with a tasty cocktail;Best Restaurant!;1135;5
Waroeng Bernadette;Indonesian;The food and the service were amazing! A special thanks to Adi and Agus! We'll...;Delicious oxtail ￹soup￻;2425;5
The Grumpy Butcher;Steakhouse;The meat, the ￹prawns￻ and the side dishes are so so delicious!!;... coleslaw, ￹Mac and cheese￻ - for arou...;1504;5
Secret Garden Restaurant;Seafood;Enchanting secret garden with delicious food. If you are in Lovina you have to...;I can recommend the vegetarian ￹curry￻ 🥰;1231;5
DAVA Steak & Seafood Restaurant;Steakhouse;We had steak and ￹salmon￻, staff did very kind care of us.;... for their famous ￹steak and lobster￻.;1012;5
O Club By Oculus Bali;Italian;Luxurious ￹Day￻ Club;Nice;44;5
Naughty Nuri's Seminyak;American;The ￹Nasi goreng￻ was spicy and cured our hangover!;The ￹spare ribs￻ were very delicious!;10062;5
Lumbung Restaurant;Contemporary;The food was incredible- we had ￹tuna￻ gohu and cassava cheese for starter whic...;We left so full up,,, Thank You Lumbung...;583;5
Sukun Restaurant Nusa Dua;Asian;The salmon ￹pasta￻ was delicious and the pies were amazing.;Try the balinese ￹crispy duck￻;627;5
Fisherman's Club;Bar;Best ￹Lobster￻ ever;... tuna, clams, ￹prawns￻ and octopus.;715;5
Warung Dandelion;Asian;My wife and I visited Dandelion 4 times during our week in Canggu. The food...;5/5;1583;4.5
Ambar Ubud Bar;Japanese;We had the delicious prawn salad, ￹sashimi￻, lobster roll and beef ramen which...;Beautiful Bali;516;5
Seasalt;Seafood;... service by Dewi .. the ￹pork belly￻ was sensational .. the deserts were to ...;She noticed we really like the ￹mackerel￻...;1551;5
Soleil;Italian;... is amazing!!! Great food like ￹tuna￻ tartare, grilled octopus, pizza and ri...;... creme brûlée ￹foie gras￻ from the menu.;2620;5
Warnakali Restaurant;Cafe;￹Tuna￻ poke bowl starter was the size of a main course (not complaining as it’s...;Love this place, i stay in the hotel with...;529;5
Asri Dining By Samanvaya;International;Highlights for us: Halloumi Sliders, Seared ￹Tuna￻ and Hot Coal Grill (you get...;The place is amazing, the view is great...;1244;5
Makan Place, Bali;American;had the chicken gyoza, loaded fries and ￹calamari￻.;Best ￹Pork Ribs￻;937;4.5
Omma Bali;Japanese;￹Paradise￻;Veery good fo the place;355;4.5
Three Monkeys Sanur;European;Visited the Three Monkeys with our family and we were all very happy with our...;Especially loved the fried ￹prawns￻ in co...;3896;4.5
Warung Ketut;Seafood;Met Wayan the owner who is a fisherman and a passionate cook, lovely soul and...;... there and ordered the ￹grilled fish￻.;145;5
Asmat Restaurant Amed;European;I love this place!;Amazing time in Amed;168;5
Kabana Ubud;Bar;We had ￹pasta￻ and burger, it was so good.;romantic dinner is good;408;5
Kisik Seafood & Grill;Seafood;￹Satay￻ and cocktails cliff hideout to remember.;... Seafood ￹skewers￻ and red snapper.;880;4.5
Botanist Restaurant Ubud;American;... with amazing ambiance and views of tropical gardens and ￹rice￻ fields.;... add a few more ￹vegan￻ friendly optio...;604;5
Nautilus Seafood Restaurant & Bar;Bar;￹Amazing Seafood￻ Experience;Awesome seefood;26;5
Sleeping Gajah Kitchen & Lounge;International;Memorable dinner overlooking ￹rice￻ terraces, highly recommend!;The view was breathtaking although the...;800;5
MoonLite Kitchen and Bar;Asian;If you can make it there for sunset it's absolutely gorgeous and all of the...;We had ￹soft shell crab￻, fried tiger pra...;2340;4.5
The Power of Love - Samabe Cave Dining;Seafood;I appreciated being able to select a no ￹seafood￻ menu.;... the scallops, cod and ￹lobster risotto￻;589;5
Koral Restaurant;International;Really Good Food, Good Ambience, Good Staff, Good Service , its all really...;Best ￹Lobster Dinner￻ Ever!;1375;5
Kaukau Restaurant;Asian;Breakfast at KauKau Restaurant;Great food;1087;5
Ely's Kitchen Ubud;Asian;Spaghetti ￹carbonara￻;The BEST ￹Nasi Goreng￻ in a beautiful jun...;3165;5
Gabah Indonesian Cuisine;Indonesian;This was my send time to (Ramayana) Gabah is the only restaurant we eat at...;Great;2260;4.5
The Chill Penida;International;Can recommend ￹tuna￻ salad and aperol.;... recommend the ￹falafel￻ bowl), lovely...;540;5
Akasa Jumeirah Bali;Seafood;... and with crab ￹rice￻ it was perfect c...;Amazing;233;5
Mambo Beach Restaurant Beach Bar & Cafe Nusa Penida;American;An enjoyable night of me-time by the beach with a tasty cocktail;Best Restaurant!;1135;5
Waroeng Bernadette;Indonesian;The food and the service were amazing! A special thanks to Adi and Agus! We'll...;Delicious oxtail ￹soup￻;2425;5
The Grumpy Butcher;Steakhouse;The meat, the ￹prawns￻ and the side dishes are so so delicious!!;... coleslaw, ￹Mac and cheese￻ - for arou...;1504;5
Secret Garden Restaurant;Seafood;Enchanting secret garden with delicious food. If you are in Lovina you have to...;I can recommend the vegetarian ￹curry￻ 🥰;1231;5
DAVA Steak & Seafood Restaurant;Steakhouse;We had steak and ￹salmon￻, staff did very kind care of us.;... for their famous ￹steak and lobster￻.;1012;5
O Club By Oculus Bali;Italian;Luxurious ￹Day￻ Club;Nice;44;5
Naughty Nuri's Seminyak;American;The ￹Nasi goreng￻ was spicy and cured our hangover!;The ￹spare ribs￻ were very delicious!;10062;5
Tuju Tropic Club And Lounge;American;Lovely spot, wonderful staff;Great new pool club;142;5
Sukun Restaurant Nusa Dua;Asian;The salmon ￹pasta￻ was delicious and the pies were amazing.;Try the balinese ￹crispy duck￻;627;5
Fisherman's Club;Bar;Best ￹Lobster￻ ever;... tuna, clams, ￹prawns￻ and octopus.;715;5
Warung Dandelion;Asian;My wife and I visited Dandelion 4 times during our week in Canggu. The food...;5/5;1583;4.5
Ambar Ubud Bar;Japanese;We had the delicious prawn salad, ￹sashimi￻, lobster roll and beef ramen which...;Beautiful Bali;516;5
Seasalt;Seafood;... service by Dewi .. the ￹pork belly￻ was sensational .. the deserts were to ...;She noticed we really like the ￹mackerel￻...;1551;5
Soleil;Italian;... is amazing!!! Great food like ￹tuna￻ tartare, grilled octopus, pizza and ri...;... creme brûlée ￹foie gras￻ from the menu.;2620;5
Warnakali Restaurant;Cafe;￹Tuna￻ poke bowl starter was the size of a main course (not complaining as it’s...;Love this place, i stay in the hotel with...;529;5
Asri Dining By Samanvaya;International;Highlights for us: Halloumi Sliders, Seared ￹Tuna￻ and Hot Coal Grill (you get...;The place is amazing, the view is great...;1244;5
Makan Place, Bali;American;had the chicken gyoza, loaded fries and ￹calamari￻.;Best ￹Pork Ribs￻;937;4.5
Omma Bali;Japanese;￹Paradise￻;Veery good fo the place;355;4.5
